Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a2620;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.3;;1.4;;0.153846154
a2621;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.2;;2.1;;0.166666667
a2622;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.5;;2;;0.117647059
a2623;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.4;;1.4;;0.095238095
a2624;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.6;;1.5;;0.166666667
a2625;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;1.8;;0.9;;0.142857143
a2626;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;;1.7;;0.166666667
a2627;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;1.7;;0.125
a2628;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.1;;1.2;;0.1
a2629;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5.3;;2.7;;0.181818182
a2630;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;;1.4;;0.1
a2631;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.5;;1.7;;0.133333333
a2632;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.1;;2;;0.142857143
a2633;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;1.8;;1.1;;0.083333333
a2634;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.3;;1.7;;0.142857143
a2635;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.1;;0.9;;0.125
a2636;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.875;9.125;2.1875;0;0.12345679
a2637;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;5.4375;16.32;2.5625;0.188679245;0.158730159
a2638;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.875;16.3;2.5;0.172413793;0.135135135
a2639;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.875;13.9375;;0.173611111;0.138888889
a2640;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;5.0625;14.3125;2.4375;0.14084507;0.163934426
a2641;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.25;8.9063;1.6875;0.120481928;0.178571429
a2642;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;5.1875;14.5625;2.3125;0.175438596;0.135869565
a2643;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.3438;7.375;1.6875;0.130208333;0.158730159
a2644;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.7188;8.5;1.6875;0.154320988;0.113636364
a2645;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.8125;10.3125;1.6875;0.15625;0.169491525
a2646;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.3125;;1.8438;0;0.131578947
a2647;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.375;8.9375;2;0.125;0.158227848
a2648;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;2.875;5.8125;1.4375;0.151515152;0.12195122
a2649;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.7188;10.125;1.8125;0.108695652;0.151515152
a2650;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.375;11.25;1.9375;0.15625;0.11627907
a2651;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;9.3125;9.25;1.4375;0.083333333;0.131578947
a2652;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.25;11.5625;1.9375;0.153846154;0.185185185
a2653;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.5;9.6875;2.0625;0.147058824;0.128205128
a2654;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;;;2.25;0.2;0.172413793
a2655;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.4375;;2.3125;0.149253731;0.117647059
a2656;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;3.8438;9.375;1.6875;0.169491525;0.12195122
a2657;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;this study;4.0625;8.1563;2.75;0.089285714;0.078125
a2658;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;1.9;;0.153846154
a2659;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;;1.3;;0.181818182
a2660;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5.9;;2.9;;0.125
a2661;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.3;;1.4;;0.181818182
a2662;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5.6;;3.2;;0.086956522
a2663;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.6;;1.8;;0.111111111
a2664;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5;;2.4;;0.2
a2665;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5.5;;2.5;;0.153846154
a2666;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;;1.5;;0.142857143
a2667;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.3;;1.7;;0.1
a2668;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;;1.4;;0.125
a2669;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.2;;1.5;;0.1
a2670;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;1.8;;0.133333333
a2671;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;;1.2;;0.125
a2672;Hell Creek cf. Richardoestesia sp.;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.4;;1.1;;0.125
a2673;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;2;3;0.7;;0.285714286
a2674;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;3.2;4.6;1.1;;0.25
a2675;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;3.6;4.6;1.7;;0.4
a2676;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;2.2;2.9;0.9;;0.25
a2677;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;2.1;3;0.7;;0.222222222
a2678;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;3.1;;1.1;;0.25
a2679;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;2;;0.8;;0.2
a2680;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;2.6;;0.9;;0.25
a2681;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;Sankey 2008;2.4;;0.9;;0.222222222
a2682;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.75;3.625;0.875;0;0.3125
a2683;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;3.2;;1.25;0.138888889;0.23255814
a2684;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.5313;4.6563;1.1875;0.178571429;0.3125
a2685;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.4375;2.7813;0.875;0.135135135;0.217391304
a2686;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.0625;3.1875;0.875;0.15625;0.256410256
a2687;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;3;5.3125;1.4063;0.178571429;0.322580645
a2688;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.1875;2.6875;0.75;0.169491525;0.256410256
a2689;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.7188;4.125;1.125;0;0.285714286
a2690;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;4;5.625;3.5625;0.714285714;0.625
a2691;Hell Creek Pectinodon bakkeri;Lancian;Troodontidae;Hell Creek;this study;2.875;;1.0625;0.15625;0.285714286
a2692;Hell Creek S. Dakota Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;5.45;;;0.2312;0.241
a2693;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;4.88;;;0.2474;0.2522
a2694;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;5.8;;;0.1494;0.1934
a2695;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;3.31;;;0.145;0.166
a2696;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;3.52;;;0.138;0.1484
a2697;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;3.47;;;0.1158;0.1452
a2698;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Holtz et al. 1998;3.49;;;0.1082;0.147
a2699;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991;9.5;;4.9;0.25;0.333333333
a2700;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991;9.5;;4.8;0.25;0.285714286
a2701;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991 and Sankey et al. 2008;9.3;17;4.8;0.25;0.285714286
a2702;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991;7.6;;4.5;0.285714286;0.285714286
a2703;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991;9.3;;4.7;0.2;0.25
a2704;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991;7;;4;0.166666667;0.166666667
a2705;Hell Creek Theropoda indet.;Lancian;;Hell Creek;Farlow et al. 1991;7.7;;3.7;0.25;0.25
a2706;Lance cf. Aves;Lancian;Aves;Lance;Sankey 2008;2.7;5;1.4;0;0
a2707;Lance cf. Aves;Lancian;Aves;Lance;Sankey 2008;3.2;;1.7;0;0
a2708;Lance ?Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;6.6875;9.25;3.5625;0.178571429;
a2709;Lance cf. Zapsalis sp.;Lancian;Dromaeosauridae;Lance;Sankey 2008;4;7;;;0.25
a2710;Lance cf. Zapsalis sp.;Lancian;Dromaeosauridae;Lance;Sankey 2008;4;9;;;0.222222222
a2711;Lance cf. Zapsalis sp.;Lancian;Dromaeosauridae;Lance;Sankey 2008;6;12;;;0.25
a2712;Lance cf. Zapsalis sp.;Lancian;Dromaeosauridae;Lance;Sankey 2008;5;8;;;0.2
a2713;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Sankey 2008;2.5;5;;;0.166666667
a2714;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Sankey 2008;2.2;4;;;0.166666667
a2715;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Sankey 2008;3;4.5;;;0.142857143
a2716;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Sankey 2008;4;7;;;0.166666667
a2717;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Sankey 2008;7;17;;;0.222222222
a2718;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.5;7.923114697;2.3375;0.113333333;0.2
a2719;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.49;7.095742175;2.60226;0.1292;0.25
a2720;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.73;6.771568403;1.892;0.135333333;0.194
a2721;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.78;6.826036841;2.04106;0.15;0.24
a2722;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.6;8.458278447;2.4192;0.167;0.222
a2723;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;7.12;10.77625586;3.49592;0.172;0.284
a2724;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;6.7;8.09637158;2.8274;0.174;0.234
a2725;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;6.805;13.33577065;2.722;0.1838;0.24
a2726;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;6.13;9.699867035;2.53782;0.196;0.23
a2727;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;6.32;8.911525403;2.74288;0.199333333;0.2612
a2728;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;6.25;12.60494403;3.625;;0.274
a2729;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.8;10.0709115;3.103;;0.26
a2730;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.48;10.03731445;3.07776;;0.21
a2731;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.52;10.39812465;3.02496;;0.2198
a2732;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.6;7.603137315;2.89456;;0.252
a2733;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.4;9.204368923;2.8134;;0.252
a2734;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.62;11.16256774;2.68074;;0.214
a2735;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.77;9.990525173;2.5965;;0.2466
a2736;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.717;8.077826694;2.57265;;0.234
a2737;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.05;7.570829454;2.54745;;0.232
a2738;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.065;7.178060796;2.324835;;0.222
a2739;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;5.7;8.285533309;2.223;;0.22
a2740;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.994;8.548443563;2.187372;;0.2232
a2741;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;3.482;6.64207668;2.172768;;0.218
a2742;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.84;6.357787376;2.07152;;0.2018
a2743;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;3.144;7.530782179;2.01216;;0.196
a2744;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.08;7.912435828;1.56264;;0.2
a2745;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;2.88;6.417721647;;;0.202
a2746;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Longrich 2008;4.42;7.632370084;;;0.212
a2747;Lance Dromaeosauridae;Lancian;Dromaeosauridae;Lance;Farlow et al. 1991;5.3;;2.4;0.135135135;0.25
a2748;Lance Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;4.875;6.4375;2.0625;0.12195122;0.204081633
a2749;Lance Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;5.625;9.0625;2.125;0.11627907;0.217391304
a2750;Lance Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;7.875;11.375;3.1875;0.178571429;0.256410256
a2751;Lance Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;5;7.4688;2.375;0.138888889;0.238095238
a2752;Lance Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;6.5313;7.6875;3.0625;;0.25
a2753;Lance Saurornitholestinae;Lancian;Dromaeosauridae;Lance;this study;6.125;8.9375;2.8125;;0.222222222
a2754;Lance Saurornitholestinae fang;Lancian;Dromaeosauridae;Lance;this study;6.0375;11.3125;3.0625;0.192307692;0.263157895
a2755;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.7;5.3;1.6;0;0
a2756;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;3.2;7.7;1.5;0;0
a2757;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;4.4;;2.4;0;0
a2758;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.2;;1.3;0;0
a2759;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.8;;1.5;0;0
a2760;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;4.5;;2.1;0;0
a2761;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.8;;1.6;0;0
a2762;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;3.3;;1.8;0;0
a2763;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2;;0.9;0;0
a2764;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.3;;0.9;0;0
a2765;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.8;;1.6;0;0
a2766;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;4.7;;2.1;0;0
a2767;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;3.8;;1.8;0;0
a2768;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.7;;1.4;0;0
a2769;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;3.3;;1.8;0;0
a2770;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.4;;1.2;0;0
a2771;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;3.2;;1.7;0;0
a2772;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;2.8;;1.3;0;0
a2773;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;4.8;;2.1;0;0
a2774;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;Sankey 2008;4.5;;1.9;0;0
a2775;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;this study;3.9375;8.1875;1.9375;0;0
a2776;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;this study;2.3125;4.75;1.25;0;0
a2777;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;this study;3.6875;;1.6125;;0.113636364
a2778;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;this study;3;4.3125e;1.4375;0;0
a2779;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;this study;4.25;9.875;2.125;0;0
a2780;Lance cf. Paronychodon lacustris;Lancian;Paronychodon;Lance;this study;2.375;6;1.562;0;0
a2781;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;2.609;4.904672911;;0.1206;0.136
a2782;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;2.08;3.615038916;;0.1018;0.1306
a2783;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;2.54;4.109242577;;0.0968;0.1312
a2784;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;2.57;4.130097535;;0.0814;0.1238
a2785;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.5;6.21895847;1.526;0.1066;0.1558
a2786;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;2.64;6.718924339;1.43088;0.0748;0.0866
a2787;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.79;5.375280826;1.30376;0.1294;0.1734
a2788;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.68;5.490769142;1.68544;0.111666667;0.1904
a2789;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.97;6.019048136;1.80635;0.128666667;0.1976
a2790;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.659;5.39;1.445305;0.1344;0.179
a2791;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.73;4.80102838;1.39129;0.1344;0.1596
a2792;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.58;5.210597683;1.20646;0.1016;0.1634
a2793;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.85;5.266271263;1.5554;0;0.1518
a2794;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;2.94;4.856417774;1.14072;;0.1304
a2795;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.36;5.449792481;1.344;;0.1372
a2796;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.98;5.38837148;;;0.184
a2797;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;4.038;5.876418063;;;0.1704
a2798;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.88;8.342139944;;0.0948;0.15
a2799;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.608;6.265350269;1.55144;0.1086;0.1598
a2800;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.75;6.810007654;1.53375;0.1068;0.1754
a2801;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.89;6.871390284;1.58323;;0.175
a2802;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Longrich 2008;3.59;5.801119261;;0.1066;0.1644
a2803;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.2;;1.1;;0.125
a2804;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.2;;1.3;;0.1
a2805;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.4;;0.9;;0.125
a2806;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;3;;1.2;;0.111111111
a2807;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.7;;1.2;;0.133333333
a2808;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.7;;1.2;;0.125
a2809;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;3.6;;1.7;;0.166666667
a2810;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.9;;1.3;;0.142857143
a2811;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.7;;1.2;;0.133333333
a2812;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;3.5;;1.8;;0.111111111
a2813;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;2.8;;1.3;;0.125
a2814;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;Sankey 2008;3.3;;1.5;;0.142857143
a2815;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;this study;3.4375;4.4375;1.25;0.096153846;0.153846154
a2816;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;this study;2.25;3.1875;1.125;0.117647059;0.151515152
a2817;Lance cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Lance;this study;3.4063;;1.5188;0.089285714;0.128205128
